"res","phage","treat","count","gen","dil","dil_fact","t_0","gen2","t_1","m"
"r","n","mono",384,"a",10000,40,166666.6667,"1",307200000,7.51925847030157
"r","n","mono",360,"b",10000,40,166666.6667,"2",2.88e+08,7.454719949164
"r","n","mono",458,"c",10000,40,166666.6667,"3",366400000,7.69548510182803
"r","n","mono",300,"d",10000,40,166666.6667,"4",2.4e+08,7.27239839237005
"r","n","mono",378,"e",10000,40,166666.6667,"5",302400000,7.50351011333343
"r","n","mono",472,"f",10000,40,166666.6667,"6",377600000,7.7255949032994
"s","n","mono",398,"g",10000,40,166666.6667,"1",318400000,7.55506792299828
"s","n","mono",350,"h",10000,40,166666.6667,"2",2.8e+08,7.4265490721973
"s","n","mono",382,"i",10000,40,166666.6667,"3",305600000,7.51403652632042
"s","n","mono",442,"j",10000,40,166666.6667,"4",353600000,7.65992579979154
"s","n","mono",282,"k",10000,40,166666.6667,"5",225600000,7.21052298865196
"s","n","mono",298,"l",10000,40,166666.6667,"6",238400000,7.26570940421925
"r","n","comm",54,"a",10000,40,166666.6667,"1",43200000,5.55759996427812
"r","n","comm",110,"b",10000,40,166666.6667,"2",8.8e+07,6.26909628350626
"r","n","comm",78,"c",10000,40,166666.6667,"3",62400000,5.92532474440344
"r","n","comm",104,"d",10000,40,166666.6667,"4",83200000,6.21300681685522
"r","n","comm",150,"e",10000,40,166666.6667,"5",1.2e+08,6.5792512118101
"r","n","comm",100,"f",10000,40,166666.6667,"6",8e+07,6.17378610370194
"s","n","comm",80,"g",10000,40,166666.6667,"1",6.4e+07,5.95064255238773
"s","n","comm",108,"h",10000,40,166666.6667,"2",86400000,6.25074714483806
"s","n","comm",102,"i",10000,40,166666.6667,"3",81600000,6.19358873099812
"s","n","comm",148,"j",10000,40,166666.6667,"4",118400000,6.56582819147796
"s","n","comm",80,"k",10000,40,166666.6667,"5",6.4e+07,5.95064255238773
"s","n","comm",100,"l",10000,40,166666.6667,"6",8e+07,6.17378610370194
"a","n","mono",420,"1",10000,40,166666.6667,"A",3.36e+08,7.60887062899126
"a","n","mono",392,"2",10000,40,166666.6667,"A",313600000,7.53987775750431
"a","n","mono",336,"3",10000,40,166666.6667,"A",268800000,7.38572707767705
"a","n","mono",388,"4",10000,40,166666.6667,"A",310400000,7.52962125733712
"a","n","mono",360,"5",10000,40,166666.6667,"A",2.88e+08,7.454719949164
"a","n","mono",408,"6",10000,40,166666.6667,"A",326400000,7.57988309211801
"a","n","comm",102,"7",10000,40,166666.6667,"A",81600000,6.19358873099812
"a","n","comm",102,"8",10000,40,166666.6667,"A",81600000,6.19358873099812
"a","n","comm",114,"9",10000,40,166666.6667,"A",91200000,6.30481436610834
"a","n","comm",80,"10",10000,40,166666.6667,"A",6.4e+07,5.95064255238773
"a","n","comm",76,"11",10000,40,166666.6667,"A",60800000,5.89934925800018
"a","n","comm",82,"12",10000,40,166666.6667,"A",65600000,5.9753351649781
