"treat","count","dil","dil_fact","froz","polm","den","lden","m","rep","rep2","rep3"
"anc",26,10000,40,2,"mono",20800000,7.31806333496276,4.82671225593535,"anc",1,"anc.1"
"anc",47,10000,40,2,"mono",37600000,7.57518784492766,5.41876331962392,"anc",2,"anc.2"
"anc",49,10000,40,2,"cpoly",39200000,7.59328606702046,5.46043601602449,"anc",3,"anc.3"
"anc",51,10000,40,2,"cpoly",40800000,7.61066016308988,5.50044135063819,"anc",4,"anc.4"
"anc",63,10000,40,2,"mono",50400000,7.70243053644553,5.7117504443054,"anc",5,"anc.5"
"anc",81,10000,40,2,"mono",64800000,7.81157500587059,5.9630648725863,"anc",6,"anc.6"
"anc",86,10000,40,2,"cpoly",68800000,7.83758843823551,6.02296301416737,"anc",7,"anc.7"
"anc",89,10000,40,2,"mono",71200000,7.85247999363686,6.05725208764601,"anc",8,"anc.8"
"anc",90,10000,40,2,"cpoly",72000000,7.85733249643127,6.06842538824413,"anc",9,"anc.9"
"anc",95,10000,40,2,"cpoly",76000000,7.88081359228079,6.12249260951441,"anc",10,"anc.10"
"anc",118,10000,40,2,"cpoly",94400000,7.97497199429807,6.33930034237953,"anc",11,"anc.11"
"anc",120,10000,40,2,"mono",96000000,7.98227123303957,6.35610746069591,"anc",12,"anc.12"
"r",71,10000,40,2,"cpoly",56800000,7.75434833571102,5.83129559495518,"r",1,"r.1"
"r",72,10000,40,2,"cpoly",57600000,7.76042248342321,5.84528183692992,"r",2,"r.2"
"r",75,10000,40,2,"cpoly",60000000,7.77815125038364,5.88610383145018,"r",3,"r.3"
"r",95,10000,40,2,"cpoly",76000000,7.88081359228079,6.12249260951441,"r",4,"r.4"
"r",103,10000,40,2,"cpoly",82400000,7.91592721169712,6.2033447061435,"r",5,"r.5"
"r",113,10000,40,2,"cpoly",90400000,7.95616843047536,6.29600353662621,"r",6,"r.6"
"res",83,10000,40,2,"mono",66400000,7.82216807936802,5.98745632571046,"r",1,"r.1"
"res",97,10000,40,2,"mono",77600000,7.88986172125819,6.14332669641725,"r",2,"r.2"
"res",113,10000,40,2,"mono",90400000,7.95616843047536,6.29600353662621,"r",3,"r.3"
"res",124,10000,40,2,"mono",99200000,7.99651167215418,6.3888972835189,"r",4,"r.4"
"res",141,10000,40,2,"mono",112800000,8.05230909964732,6.51737560829203,"r",5,"r.5"
"res",158,10000,40,2,"mono",126400000,8.10174707394637,6.63121075094083,"r",6,"r.6"
"s",47,10000,40,2,"cpoly",37600000,7.57518784492766,5.41876331962392,"s",1,"s.1"
"s",55,10000,40,2,"cpoly",44000000,7.64345267648619,5.57594890314634,"s",2,"s.2"
"s",77,10000,40,2,"cpoly",61600000,7.78958071216443,5.91242113976755,"s",3,"s.3"
"s",85,10000,40,2,"cpoly",68000000,7.83250891270624,6.01126697440418,"s",4,"s.4"
"s",107,10000,40,2,"cpoly",85600000,7.93247376467715,6.24144455237577,"s",5,"s.5"
"s",121,10000,40,2,"cpoly",96800000,7.98587535730839,6.36440626351061,"s",6,"s.6"
"sus",52,10000,40,2,"mono",41600000,7.61909333062674,5.51985943649529,"s",1,"s.1"
"sus",77,10000,40,2,"mono",61600000,7.78958071216443,5.91242113976755,"s",2,"s.2"
"sus",96,10000,40,2,"mono",76800000,7.88536122003151,6.1329639093817,"s",3,"s.3"
"sus",117,10000,40,2,"mono",93600000,7.97127584873811,6.33078965271162,"s",4,"s.4"
"sus",145,10000,40,2,"mono",116000000,8.06445798922692,6.54534946033444,"s",5,"s.5"
"sus",148,10000,40,2,"mono",118400000,8.0733517023869,6.56582799167798,"s",6,"s.6"
